,index,rrrp3.sa,rrrp3.sa_quant,rrrp3.sa_invest,suzb3.sa,suzb3.sa_quant,suzb3.sa_invest,lren3.sa,lren3.sa_quant,lren3.sa_invest,cyre3.sa,cyre3.sa_quant,cyre3.sa_invest,enat3.sa,enat3.sa_quant,enat3.sa_invest,prio3.sa,prio3.sa_quant,prio3.sa_invest,tots3.sa,tots3.sa_quant,tots3.sa_invest,elet3.sa,elet3.sa_quant,elet3.sa_invest,raiz4.sa,raiz4.sa_quant,raiz4.sa_invest,bbas3.sa,bbas3.sa_quant,bbas3.sa_invest,petr4.sa,petr4.sa_quant,petr4.sa_invest,ntco3.sa,ntco3.sa_quant,ntco3.sa_invest,cple6.sa,cple6.sa_quant,cple6.sa_invest,cple3.sa,cple3.sa_quant,cple3.sa_invest,vale3.sa,vale3.sa_quant,vale3.sa_invest,Date,rrrp3.sa_total,suzb3.sa_total,lren3.sa_total,cyre3.sa_total,enat3.sa_total,prio3.sa_total,tots3.sa_total,elet3.sa_total,raiz4.sa_total,bbas3.sa_total,petr4.sa_total,ntco3.sa_total,cple6.sa_total,cple3.sa_total,vale3.sa_total,total_yield,total_invest,yield
0,2022-06-28,36.15999984741211,100,3650,49.43000030517578,0,0.0,22.719999313354492,0,0.0,11.670000076293945,0,0.0,18.0,0,0,22.65999984741211,0,0.0,23.780000686645508,0,0,45.560001373291016,0,0.0,4.820000171661377,0,0,33.25,0,0.0,28.329999923706055,0,0.0,14.069999694824219,0,0,6.989999771118164,0,0,6.389999866485596,0,0,79.44999694824219,0,0,2022-06-28,3615.999984741211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3615.999984741211,3650.0,-0.93
1,2022-06-29,35.900001525878906,100,3650,48.849998474121094,0,0.0,22.299999237060547,0,0.0,11.859999656677246,0,0.0,18.049999237060547,0,0,22.469999313354492,0,0.0,23.270000457763672,0,0,45.720001220703125,0,0.0,4.800000190734863,0,0,33.08000183105469,0,0.0,28.079999923706055,0,0.0,13.630000114440918,0,0,6.849999904632568,0,0,6.300000190734863,0,0,78.79000091552734,0,0,2022-06-29,3590.0001525878906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3590.0001525878906,3650.0,-1.64
2,2022-06-30,35.150001525878906,100,3650,49.689998626708984,0,0.0,22.6200008392334,0,0.0,11.819999694824219,0,0.0,17.56999969482422,0,0,21.989999771118164,0,0.0,23.260000228881836,0,0,46.20000076293945,0,0.0,4.590000152587891,0,0,33.380001068115234,0,0.0,27.93000030517578,0,0.0,13.420000076293945,0,0,6.829999923706055,0,0,6.369999885559082,0,0,76.55999755859375,0,0,2022-06-30,3515.0001525878906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3515.0001525878906,3650.0,-3.7
3,2022-07-01,35.59000015258789,100,3650,50.45000076293945,0,0.0,23.100000381469727,0,0.0,12.039999961853027,0,0.0,17.670000076293945,0,0,22.100000381469727,0,0.0,23.549999237060547,0,0,45.849998474121094,0,0.0,4.519999980926514,0,0,33.150001525878906,0,0.0,28.530000686645508,0,0.0,13.229999542236328,0,0,6.980000019073486,0,0,6.329999923706055,0,0,75.0999984741211,0,0,2022-07-01,3559.000015258789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3559.000015258789,3650.0,-2.49
4,2022-07-04,36.279998779296875,100,3650,50.369998931884766,0,0.0,23.030000686645508,0,0.0,11.949999809265137,0,0.0,17.75,0,0,22.790000915527344,0,0.0,23.389999389648438,0,0,45.2400016784668,0,0.0,4.539999961853027,0,0,33.040000915527344,0,0.0,29.139999389648438,0,0.0,12.949999809265137,0,0,6.869999885559082,0,0,6.289999961853027,0,0,74.66999816894531,0,0,2022-07-04,3627.9998779296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3627.9998779296875,3650.0,-0.6
5,2022-07-05,33.58000183105469,100,3650,48.900001525878906,0,0.0,23.09000015258789,0,0.0,12.229999542236328,0,0.0,16.969999313354492,0,0,21.170000076293945,0,0.0,24.299999237060547,0,0,44.709999084472656,0,0.0,4.53000020980835,0,0,32.86000061035156,0,0.0,28.030000686645508,0,0.0,13.1899995803833,0,0,6.800000190734863,0,0,6.239999771118164,0,0,74.30000305175781,0,0,2022-07-05,3358.0001831054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3358.0001831054688,3650.0,-8.0
6,2022-07-06,31.700000762939453,100,3650,49.33000183105469,0,0.0,23.860000610351562,0,0.0,12.329999923706055,0,0.0,16.809999465942383,0,0,20.889999389648438,0,0.0,25.239999771118164,0,0,44.18000030517578,0,0.0,4.389999866485596,0,0,32.650001525878906,0,0.0,27.670000076293945,0,0.0,13.989999771118164,0,0,6.769999980926514,0,0,6.159999847412109,0,0,75.0,0,0,2022-07-06,3170.0000762939453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3170.0000762939453,3650.0,-13.15
7,2022-07-07,31.899999618530273,100,3650,48.9900016784668,0,0.0,24.75,0,0.0,12.569999694824219,0,0.0,16.75,0,0,21.219999313354492,0,0.0,25.690000534057617,0,0,44.709999084472656,0,0.0,4.550000190734863,0,0,33.130001068115234,0,0.0,28.479999542236328,0,0.0,14.619999885559082,0,0,6.789999961853027,0,0,6.199999809265137,0,0,77.18000030517578,0,0,2022-07-07,3189.9999618530273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3189.9999618530273,3650.0,-12.6
8,2022-07-08,32.900001525878906,100,3650,47.59000015258789,0,0.0,24.780000686645508,0,0.0,12.649999618530273,0,0.0,16.940000534057617,0,0,21.760000228881836,0,0.0,24.920000076293945,0,0,43.95000076293945,0,0.0,4.400000095367432,0,0,33.45000076293945,0,0.0,28.799999237060547,0,0.0,14.289999961853027,0,0,6.849999904632568,0,0,6.230000019073486,0,0,75.4000015258789,0,0,2022-07-08,3290.0001525878906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3290.0001525878906,3650.0,-9.86
9,2022-07-11,32.369998931884766,100,3650,47.65999984741211,0,0.0,24.06999969482422,0,0.0,12.4399995803833,0,0.0,16.829999923706055,0,0,21.920000076293945,0,0.0,24.040000915527344,0,0,42.25,0,0.0,4.159999847412109,0,0,32.900001525878906,0,0.0,28.65999984741211,0,0.0,13.630000114440918,0,0,6.840000152587891,0,0,6.300000190734863,0,0,72.83000183105469,0,0,2022-07-11,3236.9998931884766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3236.9998931884766,3650.0,-11.32
